,sellprice,symbol,selltime,qty,sl,strike,tp,buyprice,buytime,reason,pnl
75,297.9,BANKNIFTY07JAN2131100CE,2021-01-05 09:44:00,25,303.858,31100,288.96299999999997,288.96299999999997,2021-01-05 09:47:00,TP HIT,223.4250000000003
76,265.15,BANKNIFTY07JAN2131100PE,2021-01-05 09:44:00,25,259.847,31100,273.1045,257.1955,2021-01-05 09:47:00,TP HIT,198.8624999999999
77,263.5,BANKNIFTY07JAN2131200CE,2021-01-05 09:48:00,25,268.77,31200,255.595,268.77,2021-01-05 09:53:00,SL HIT,-131.74999999999955
78,298.9,BANKNIFTY07JAN2131200PE,2021-01-05 09:48:00,25,292.92199999999997,31200,307.86699999999996,292.92199999999997,2021-01-05 09:53:00,SL HIT,-149.45000000000022
79,256.1,BANKNIFTY07JAN2131200CE,2021-01-05 09:54:00,25,261.22200000000004,31200,248.41700000000003,261.22200000000004,2021-01-05 09:57:00,SL HIT,-128.05000000000035
80,302.45,BANKNIFTY07JAN2131200PE,2021-01-05 09:54:00,25,296.401,31200,311.5235,296.401,2021-01-05 09:57:00,SL HIT,-151.22499999999945
81,303.8,BANKNIFTY07JAN2131100CE,2021-01-05 09:58:00,25,309.87600000000003,31100,294.68600000000004,294.68600000000004,2021-01-05 10:00:00,TP HIT,227.8499999999994
82,295.75,BANKNIFTY07JAN2131100CE,2021-01-05 10:01:00,25,301.665,31100,286.8775,286.8775,2021-01-05 10:04:00,TP HIT,221.81250000000006
83,257.55,BANKNIFTY07JAN2131100PE,2021-01-05 10:01:00,25,252.399,31100,265.2765,249.82350000000002,2021-01-05 10:04:00,TP HIT,193.16249999999968
84,274.3,BANKNIFTY07JAN2131100CE,2021-01-05 10:05:00,25,279.786,31100,266.071,279.786,2021-01-05 10:06:00,SL HIT,-137.14999999999975
85,285.15,BANKNIFTY07JAN2131100CE,2021-01-05 10:07:00,25,290.85299999999995,31100,276.59549999999996,290.85299999999995,2021-01-05 10:08:00,SL HIT,-142.57499999999936
86,288.9,BANKNIFTY07JAN2131100CE,2021-01-05 10:09:00,25,294.678,31100,280.233,280.233,2021-01-05 10:10:00,TP HIT,216.67499999999933
